name,city,type,beercount,est,status,url
Southern Peak Brewery,Apex,Brewpub/Brewery,22,2016,Active,https://www.ratebeer.com//brewers/southern-peak-brewery/27060/
Southern Pines Brewing Company,Southern Pines,Microbrewery,61,2014,Active,https://www.ratebeer.com//brewers/southern-pines-brewing-company/20316/
Southern Range Brewing Company,Monroe,Microbrewery,28,2016,Active,https://www.ratebeer.com//brewers/southern-range-brewing-company/28639/
Starpoint Brewing,Carrboro,Microbrewery,26,2012,Active,https://www.ratebeer.com//brewers/starpoint-brewing/15010/
Steel String Craft Brewery,Carrboro,Brewpub/Brewery,61,2013,Active,https://www.ratebeer.com//brewers/steel-string-craft-brewery/16599/
Stryker Brewing Company,Charlotte,Contract Brewer,6,2018,Active,https://www.ratebeer.com//brewers/stryker-brewing-company/36264/
Sub Noir Brewing Company,Raleigh,Microbrewery,15,2013,Active,https://www.ratebeer.com//brewers/sub-noir-brewing-company/16929/
Suffolk Punch Brewing,Charlotte,Brewpub/Brewery,44,2017,Active,https://www.ratebeer.com//brewers/suffolk-punch-brewing/33083/
Sugar Creek Brewing Company,Charlotte,Microbrewery,30,2014,Active,https://www.ratebeer.com//brewers/sugar-creek-brewing-company/20865/
Sweet Union Brewing Company,Indian Trail,Microbrewery,43,2017,Active,https://www.ratebeer.com//brewers/sweet-union-brewing-company/31038/
Sweeten Creek Brewing,Asheville ,Microbrewery,18,2015,Active,https://www.ratebeer.com//brewers/sweeten-creek-brewing/25446/
Sycamore Brewing,Charlotte,Microbrewery,110,2014,Active,https://www.ratebeer.com//brewers/sycamore-brewing/21245/
Tarboro Brewing Company,Tarboro,Microbrewery,8,2016,Active,https://www.ratebeer.com//brewers/tarboro-brewing-company/29946/
Tek Mountain Brewing,Wilmington,Microbrewery,7,2016,Active,https://www.ratebeer.com//brewers/tek-mountain-brewing/28138/
The DreamChaser's Brewery,Waxhaw,Microbrewery,40,2016,Active,https://www.ratebeer.com//brewers/the-dreamchasers-brewery/27496/
The Duck-Rabbit Craft Brewery,Farmville,Microbrewery,41,2004,Active,https://www.ratebeer.com//brewers/the-duck-rabbit-craft-brewery/5175/
The Glass Jug Beer Lab,Durham,Microbrewery,26,2018,Active,https://www.ratebeer.com//brewers/the-glass-jug-beer-lab/36429/
The Levee Brewery & Pub,Valdese,Microbrewery,6,2018,Active,https://www.ratebeer.com//brewers/the-levee-brewery-pub/38025/
The Mash House Restaurant & Brewery,Fayetteville,Brewpub,37,2e3,Active,https://www.ratebeer.com//brewers/the-mash-house-restaurant-brewery/635/
The Mason Jar Lager Company,Fuquay Varina,Microbrewery,24,2017,Active,https://www.ratebeer.com//brewers/the-mason-jar-lager-company/32882/
The New Village Brewery & Taproom,Oriental,Microbrewery,3,2018,Active,https://www.ratebeer.com//brewers/the-new-village-brewery-taproom/38022/
The Olde Mecklenburg Brewery,Charlotte,Microbrewery,28,2009,Active,https://www.ratebeer.com//brewers/the-olde-mecklenburg-brewery/10182/
The Unknown Brewing Company,Charlotte,Microbrewery,51,2013,Active,https://www.ratebeer.com//brewers/the-unknown-brewing-company/18424/
Thirsty Monk Brewery & Pub,Asheville,Brewpub/Brewery,63,2012,Active,https://www.ratebeer.com//brewers/thirsty-monk-brewery-pub/14160/
Thirsty Nomad Brewing Company,Charlotte,Microbrewery,39,2016,Active,https://www.ratebeer.com//brewers/thirsty-nomad-brewing-company/28245/
Thirsty Souls Community Brewing,Mount Airy,Brewpub/Brewery,36,2018,Active,https://www.ratebeer.com//brewers/thirsty-souls-community-brewing/34362/
Three Spirits Brewery,Charlotte,Microbrewery,18,2015,Active,https://www.ratebeer.com//brewers/three-spirits-brewery/25218/
Tobacco Road Sports Cafe,Raleigh,Brewpub,16,2017,Active,https://www.ratebeer.com//brewers/tobacco-road-sports-cafe/32136/
Top of the Hill Brewery,Chapel Hill,Brewpub,40,2003,Active,https://www.ratebeer.com//brewers/top-of-the-hill-brewery/3440/
Town Brewing,Charlotte,Microbrewery,12,2018,Active,https://www.ratebeer.com//brewers/town-brewing/37606/
Triple C Brewing Company,Charlotte,Microbrewery,60,2012,Active,https://www.ratebeer.com//brewers/triple-c-brewing-company/15373/
Triskelion Brewing Company,Hendersonville ,Brewpub/Brewery,9,2018,Active,https://www.ratebeer.com//brewers/triskelion-brewing-company/36878/
Trollingwood Taproom and Brewery,Greenville,Microbrewery,31,2016,Active,https://www.ratebeer.com//brewers/trollingwood-taproom-and-brewery/28669/
Trophy Brewing Company,Raleigh ,Brewpub,183,2013,Active,https://www.ratebeer.com//brewers/trophy-brewing-company/16191/
Turgua Brewing,Fairview,Microbrewery,19,2018,Active,https://www.ratebeer.com//brewers/turgua-brewing/38020/
Twenty-Six Acres Brewing Company,Concord,Microbrewery,25,2016,Active,https://www.ratebeer.com//brewers/twenty-six-acres-brewing-company/29112/
Twin Leaf Brewery,Asheville,Microbrewery,114,2014,Active,https://www.ratebeer.com//brewers/twin-leaf-brewery/19018/
Upcountry Brewing,Asheville,Brewpub/Brewery,41,2017,Active,https://www.ratebeer.com//brewers/upcountry-brewing/29875/
Uptown Brewing Company,Greenville,Microbrewery,10,2018,Active,https://www.ratebeer.com//brewers/uptown-brewing-company/36965/
Valley River Brewery & Eatery,Murphy,Brewpub,19,2017,Active,https://www.ratebeer.com//brewers/valley-river-brewery-eatery/30879/
Vecino Brewing Company,Carrboro,Microbrewery,17,2018,Active,https://www.ratebeer.com//brewers/vecino-brewing-company/35279/
Vicious Fishes Brewery,Angier,Microbrewery,7,2017,Active,https://www.ratebeer.com//brewers/vicious-fishes-brewery/30849/
Waterline Brewing Company,Wilmington,Microbrewery,13,2015,Active,https://www.ratebeer.com//brewers/waterline-brewing-company/25312/
Waterman's Brewing,Wilmington,Microbrewery,11,2018,Active,https://www.ratebeer.com//brewers/waterman39s-brewing/36402/
Wedge Brewing Company,Asheville,Microbrewery,57,2008,Active,https://www.ratebeer.com//brewers/wedge-brewing-company/9622/
Weeping Radish Farm Brewery,Grandy,Microbrewery,32,2e3,Active,https://www.ratebeer.com//brewers/weeping-radish-farm-brewery/381/
Westbend Vineyards & Brewery,Lewisville,Microbrewery,15,2013,Active,https://www.ratebeer.com//brewers/westbend-vineyards-brewery/17142/
Whistle Hop Brewing Company,Fairview,Microbrewery,28,2018,Active,https://www.ratebeer.com//brewers/whistle-hop-brewing-company/38019/
White Elephant Beer Company,Mt Airy,Brewpub/Brewery,16,2018,Active,https://www.ratebeer.com//brewers/white-elephant-beer-company/35235/
White Labs Kitchen & Tap,Asheville,Brewpub,8,2018,Active,https://www.ratebeer.com//brewers/white-labs-kitchen-tap/35452/
White Street Brewing Company,Wake Forest,Microbrewery,55,2012,Active,https://www.ratebeer.com//brewers/white-street-brewing-company/15333/
Whiteside Brewing,Cashiers,Microbrewery,12,2018,Active,https://www.ratebeer.com//brewers/whiteside-brewing/38018/
Wicked Weed Brewing (AB InBev),Asheville,Brewpub,455,2012,Active,https://www.ratebeer.com//brewers/wicked-weed-brewing-ab-inbev/15842/
Wilmington Brewing Company,Wilmington,Microbrewery,69,2015,Active,https://www.ratebeer.com//brewers/wilmington-brewing-company/22843/
Wise Man Brewing,Winston-Salem,Microbrewery,51,2017,Active,https://www.ratebeer.com//brewers/wise-man-brewing/30121/
Wooden Robot Brewery,Charlotte,Microbrewery,152,2015,Active,https://www.ratebeer.com//brewers/wooden-robot-brewery/23461/
Wrightsville Beach Brewery,Wilmington,Brewpub/Brewery,15,2017,Active,https://www.ratebeer.com//brewers/wrightsville-beach-brewery/32717/
Yellow Sun Brewing Company,Rutherfordton,Microbrewery,6,2017,Active,https://www.ratebeer.com//brewers/yellow-sun-brewing-company/31563/
York Chester Brewing Company,Belmont,Microbrewery,14,2016,Active,https://www.ratebeer.com//brewers/york-chester-brewing-company/29769/
Zebulon Artisan Ales,Weaverville,Microbrewery,70,2016,Active,https://www.ratebeer.com//brewers/zebulon-artisan-ales/26278/
Zillicoah Beer Company,Woodfin,Microbrewery,31,2018,Active,https://www.ratebeer.com//brewers/zillicoah-beer-company/35466/
Altamont Brewing Company,Asheville,Brewpub/Brewery,20,2013,Closed,https://www.ratebeer.com//brewers/altamont-brewing-company/16026/
Apex Brewing Company,Apex,Microbrewery,1,2004,Closed,https://www.ratebeer.com//brewers/apex-brewing-company/4858/
Azalea Coast Brewing Company,Wilmington,Microbrewery,9,2006,Closed,https://www.ratebeer.com//brewers/azalea-coast-brewing-company/7820/
Basic Brewery,Hendersonville,Microbrewery,13,2016,Closed,https://www.ratebeer.com//brewers/basic-brewery/26820/
Bayne Brewing Company,Cornelius,Microbrewery,16,2014,Closed,https://www.ratebeer.com//brewers/bayne-brewing-company/21622/
BlackJack Brewing Company,Raleigh,Microbrewery,4,2015,Closed,https://www.ratebeer.com//brewers/blackjack-brewing-company/23414/
Carolina Beer Company,Mooresville,Client Brewer,24,1997,Closed,https://www.ratebeer.com//brewers/carolina-beer-company/1559/
Chesapeake Bay Brewing (formerly Rock Creek),Raleigh ,Microbrewery,14,1999,Closed,https://www.ratebeer.com//brewers/chesapeake-bay-brewing-formerly-rock-creek/152/
Craggie Brewing Company,Asheville,Microbrewery,30,2009,Closed,https://www.ratebeer.com//brewers/craggie-brewing-company/10188/
Draft Line Brewing,Fuquay-Varina,Microbrewery,19,2014,Closed,https://www.ratebeer.com//brewers/draft-line-brewing/20038/
Edenton Brewing Company,Raleigh,Microbrewery,9,1900,Closed,https://www.ratebeer.com//brewers/edenton-brewing-company/11509/
First Coast Brewing,Wilmington,Microbrewery,2,1994,Closed,https://www.ratebeer.com//brewers/first-coast-brewing/2566/
Four Friends Brewing,Charlotte,Microbrewery,11,2009,Closed,https://www.ratebeer.com//brewers/four-friends-brewing/10388/
G2B Gastropub & Brewery,Durham,Brewpub/Brewery,17,2015,Closed,https://www.ratebeer.com//brewers/g2b-gastropub-brewery/23185/
Good Vibes Brewing,"Carolina Beach, Wilmington",Microbrewery,1,2011,Closed,https://www.ratebeer.com//brewers/good-vibes-brewing/12565/
Greenshields Brewery & Pub,Raleigh,Microbrewery,15,1999,Closed,https://www.ratebeer.com//brewers/greenshields-brewery-pub/570/
Habitat Brewing Co.,Asheville,Microbrewery,10,2017,Closed,https://www.ratebeer.com//brewers/habitat-brewing-co/31312/
Hams Restaurant & Brewhouse,Greenville,Brewpub,26,2003,Closed,https://www.ratebeer.com//brewers/hams-restaurant-brewhouse/3974/
Heinzelmannchen Brewery,Sylva,Microbrewery,18,2005,Closed,https://www.ratebeer.com//brewers/heinzelmannchen-brewery/6342/
High Tide Brewing Company,Jacksonville,Brewpub/Brewery,4,2014,Closed,https://www.ratebeer.com//brewers/high-tide-brewing-company/20015/
Hosanna Brewing Company,Fuqauy Varina,Brewpub,12,2013,Closed,https://www.ratebeer.com//brewers/hosanna-brewing-company/18143/
Howard Brewing Company,Lenoir,Microbrewery,11,2012,Closed,https://www.ratebeer.com//brewers/howard-brewing-company/15125/
Jack of the Wood Brewpub,Asheville,Brewpub,13,2004,Closed,https://www.ratebeer.com//brewers/jack-of-the-wood-brewpub/14806/
Lake Norman Brewing Company,Mooresville,Microbrewery,13,2014,Closed,https://www.ratebeer.com//brewers/lake-norman-brewing-company/18893/
Lincoln Brewing & Distilling Company,Raleigh,Microbrewery,17,2015,Closed,https://www.ratebeer.com//brewers/lincoln-brewing-distilling-company/23238/
Loe's Brewing Company (Hickory),Hickory,Microbrewery,6,2010,Closed,https://www.ratebeer.com//brewers/loe39s-brewing-company-hickory/11984/
Lumina Brewing Company,Wilmington,Microbrewery,11,2011,Closed,https://www.ratebeer.com//brewers/lumina-brewing-company/13384/
Mystery Brewing,Hillsborough,Microbrewery,98,2011,Closed,https://www.ratebeer.com//brewers/mystery-brewing/13357/
Open Brewing,Asheville,Brewpub/Brewery,3,2015,Closed,https://www.ratebeer.com//brewers/open-brewing/21851/
Sweet Taters,Rocky Mount,Brewpub/Brewery,9,2016,Closed,https://www.ratebeer.com//brewers/sweet-taters/28628/
The Sneak E Squirrel,Sylva,Microbrewery,15,2016,Closed,https://www.ratebeer.com//brewers/the-sneak-e-squirrel/28563/
Tipping Point Tavern,Waynesville,Brewpub,21,2012,Closed,https://www.ratebeer.com//brewers/tipping-point-tavern/14936/
Triangle Brewing Company,Durham,Microbrewery,21,2007,Closed,https://www.ratebeer.com//brewers/triangle-brewing-company/8726/
White Rabbit Brewing (NC),Angier,Microbrewery,19,2013,Closed,https://www.ratebeer.com//brewers/white-rabbit-brewing-nc/16217/
Williamsville Brewery (formerly Wilmington Brewing),Farmville,Brewpub,5,2e3,Closed,https://www.ratebeer.com//brewers/williamsville-brewery-formerly-wilmington-brewing/3009/
Winding Creek Brewing Company,Columbus,Microbrewery,9,2017,Closed,https://www.ratebeer.com//brewers/winding-creek-brewing-company/30338/
Wolf Beer Company,Wilmington,Client Brewer,2,2009,Closed,https://www.ratebeer.com//brewers/wolf-beer-company/11039/
Yester Years Brewery,Carrboro,Microbrewery,11,2015,Closed,https://www.ratebeer.com//brewers/yester-years-brewery/23427/
